model.size,set,loss,error.percent
42,test,0.302772427661217,8.04347826086957
43,subtrain,0.193176265516324,7.76751765344921
43,validation,0.380211273408409,8.33333333333333
43,test,0.302472606170714,7.97101449275362
44,subtrain,0.193054823587648,7.60456273764259
44,validation,0.380728751677023,8.33333333333333
44,test,0.300866122021526,7.89855072463768
45,subtrain,0.192940459468981,7.65888104291146
45,validation,0.380528494374646,8.04347826086957
45,test,0.300882164004965,7.68115942028986
46,subtrain,0.192827614400309,7.71319934818034
46,validation,0.380294248660552,7.89855072463768
46,test,0.300502526134751,7.68115942028986
47,subtrain,0.192779035509709,7.65888104291146
47,validation,0.379852426473642,7.89855072463768
47,test,0.300188784786892,7.7536231884058
48,subtrain,0.192723698974657,7.76751765344921
48,validation,0.379965037276394,8.18840579710145
48,test,0.300073410387855,8.04347826086957
49,subtrain,0.192678218070915,7.76751765344921
49,validation,0.380683104749998,8.26086956521739
49,test,0.300788001926778,8.26086956521739
50,subtrain,0.192650401310555,7.82183595871809
50,validation,0.383397428890268,8.26086956521739
50,test,0.300823652596443,8.18840579710145
51,subtrain,0.192622802717814,7.71319934818034
51,validation,0.383031312328776,8.26086956521739
51,test,0.301366037395837,8.26086956521739
52,subtrain,0.192600034085206,7.71319934818034
52,validation,0.38197497631835,8.18840579710145
52,test,0.301235196488178,8.33333333333333
53,subtrain,0.192581240553721,7.76751765344921
53,validation,0.38206678691504,8.18840579710145
53,test,0.301075462386896,8.26086956521739
54,subtrain,0.19256678230829,7.76751765344921
54,validation,0.381809217475029,8.18840579710145
54,test,0.300988698773152,8.26086956521739
55,subtrain,0.192555302686905,7.65888104291146
55,validation,0.38181617223639,7.89855072463768
55,test,0.30097375050633,7.89855072463768
56,subtrain,0.19254556406437,7.65888104291146
56,validation,0.381712068982967,7.89855072463768
56,test,0.30093730696043,7.82608695652174
57,subtrain,0.192545563613453,7.65888104291146
57,validation,0.3790045368931,7.89855072463768
57,test,0.296660605378255,7.82608695652174
